"Firstname	",Surname,,,,,,** They have repeating Golfer but issues is theres not mine
Rory,McIlroy ,,2774,Rory,McIlroy ,,
Benjamin,Hebert ,,2775,Benjamin,Hebert ,,
Matt,Wallace ,,2776,Matt,Wallace ,,
Paul,Waring ,,2777,Paul,Waring ,,
Christiaan,Bezuidenhout ,,2778,Christiaan,Bezuidenhout ,,
Masahiro,Kawamura ,,2779,Masahiro,Kawamura ,,
Andrea,Pavan ,,2780,Andrea,Pavan ,,
Richard,Sterne ,,2781,Richard,Sterne ,,
Carl,Yuan ,,2782,Carl,Yuan ,,
Yosuke,Asaji ,,2783,Yosuke,Asaji ,,
Shane,Lowry ,,2784,Shane,Lowry ,,
Zander,Lombard ,,2785,Zander,Lombard ,,
Danny,Willett ,,2786,Danny,Willett ,,
Matthew,Fitzpatrick ,,2787,Matthew,Fitzpatrick ,,
Ryo,Ishikawa ,,2788,Ryo,Ishikawa ,,
Jorge,Campillo ,,2789,Jorge,Campillo ,,
WC,Liang ,,2790,WC,Liang ,,
Jake,McLeod ,,2791,Jake,McLeod ,,
Patrick,Reed ,,2792,Patrick,Reed ,,
Michael,Lorenzo-Vera ,,2793,Michael,Lorenzo-Vera ,,
Matthias,Schwab ,,2794,Matthias,Schwab ,,
Bernd,Wiesberger ,,2795,Bernd,Wiesberger ,,
Seungsu,Han ,,2796,Seungsu,Han ,,
Erik,van Rooyen,,2797,Erik,van Rooyen,,
Paul,Casey ,,2798,Paul,Casey ,,
Zecheng,Dou ,,2799,Zecheng,Dou ,,
Chan,Kim ,,2800,Chan,Kim ,,
Jinichiro,Kozuma ,,2801,Jinichiro,Kozuma ,,
Daniel,Nisbet ,,2802,Daniel,Nisbet ,,
Jordan,Spieth ,,2803,Jordan,Spieth ,,
Scott,Hend ,,2804,Scott,Hend ,,
Shugo,Imahira ,,2805,Shugo,Imahira ,,
Zhengkai,Bai ,,2806,Zhengkai,Bai ,,
Romain,Langasque ,,2807,Romain,Langasque ,,
Shaun,Norris ,,2808,Shaun,Norris ,,
Dustin,Johnson ,,2809,Dustin,Johnson ,,
Matt,Kuchar ,,2810,Matt,Kuchar ,,
Rickie,Fowler ,,2811,Rickie,Fowler ,,
Alex,Prugh ,,2812,Alex,Prugh ,,
Ollie,Schniederjans ,,2813,Ollie,Schniederjans ,,
Kelly,Kraft ,,2814,Kelly,Kraft ,,
Rob,Labritz ,,2815,Rob,Labritz ,,
David,Lipsky ,,2816,David,Lipsky ,,
Ryan,Vermeer ,,2817,Ryan,Vermeer ,,
Chris,Kirk ,,2818,Chris,Kirk ,,
Scott,Langley ,,2819,Scott,Langley ,,
Jon,Rahm ,,2820,Jon,Rahm ,,
Martin,Kaymer ,,2821,Martin,Kaymer ,,
Lee,Westwood ,,2822,Lee,Westwood ,,
Jonas,Blixt ,,2823,Jonas,Blixt ,,
Joey,Garber ,,2824,Joey,Garber ,,
Stephan,Jaeger ,,2825,Stephan,Jaeger ,,
John,Chin ,,2826,John,Chin ,,
Charlie,Danielson ,,2827,Charlie,Danielson ,,
Jose,de Jesus,,2828,Jose,de Jesus,,
Sam,Saunders ,,2829,Sam,Saunders ,,
Adam,Svensson ,,2830,Adam,Svensson ,,
Thomas,Pieters ,,2831,Thomas,Pieters ,,
Nicholas,Lindheim ,,2832,Nicholas,Lindheim ,,
Padraig,Harrington ,,2833,Padraig,Harrington ,,
Chase,Wright ,,2834,Chase,Wright ,,
Aaron,Rai ,,2835,Aaron,Rai ,,
Kyle,Jones ,,2836,Thorbjorn,Olesen ,,
Thorbjorn,Olesen ,,2837,Ryan,Fox ,,
Ryan,Fox ,,2838,Ben,Silverman ,,
Ben,Silverman ,,2839,Cody,Gribble ,,
Cody,Gribble ,,2840,Brandon,Harkins ,,
Brandon,Harkins ,,2841,Tyrone,Van Aswegen,,
Tyrone,Van Aswegen,,2842,Eddie,Pepperell ,,
Eddie,Pepperell ,,2843,Steve,Stricker ,,
Steve,Stricker ,,2844,Anders,Albertson ,,
Anders,Albertson ,,2845,Brady,Schnell ,,
Brady,Schnell ,,2846,Paul,Barjon ,,
Paul,Barjon ,,2847,Luke,Donald ,,
Luke,Donald ,,2848,Marcus,Kinhult ,,
Marcus,Kinhult ,,2849,Seth,Reeves ,,
Seth,Reeves ,,2850,Philip,Eriksson ,,
Philip,Eriksson ,,2851,David,Toms ,,
David,Toms ,,2852,Kodai,Ichihara ,,
Kodai,Ichihara ,,2853,Martin,Piller ,,
Martin,Piller ,,2854,Poom,Saksansin ,,
Poom,Saksansin ,,2855,Ernie,Els ,,
Ernie,Els ,,2856,Andrew,Wilson ,,
Andrew,Wilson ,,2857,Tom,Lovelady ,,
Tom,Lovelady ,,2858,Shubhankar,Sharma ,,
Shubhankar,Sharma ,,2859,Curtis,Luck ,,
Chris,Thompson ,,2860,Innchoon,Hwang ,,
Curtis,Luck ,,2861,Callum,Shinkwin ,,
Innchoon,Hwang ,,2862,Colt,Knost ,,
Callum,Shinkwin ,,2863,Chad,Collins ,,
Colt,Knost ,,2864,Mike,Weir ,,
Chad,Collins ,,2865,Ashton,Turner ,,
Mike,Weir ,,2866,Trey,Mullinax ,,
Ashton,Turner ,,2867,Mikko,Korhonen ,,
Trey,Mullinax ,,2868,Adri,Arnaus ,,
Mikko,Korhonen ,,2869,Andy,Pope ,,
Adri,Arnaus ,,2870,Nino,Bertasio ,,
Andy,Pope ,,2871,Yuki,Inamori ,,
Nino,Bertasio ,,2872,Justin,Walters ,,
Yuki,Inamori ,,2873,Rhys,Enoch ,,
Justin,Walters ,,2874,Clement,Sordet ,,
Rhys,Enoch ,,2875,Ross,Fisher ,,
Clement,Sordet ,,2876,Will,Gordon ,,
Ross,Fisher ,,2877,Lucas,Herbert ,,*
Will,Gordon ,,2878,Marty,Jertson ,,
Lucas,Herbert ,,2879,Norman,Xiong ,,
Marty,Jertson ,,2880,Jim,Knous ,,
Norman,Xiong ,,2881,Richard,Jung ,,
Jim,Knous ,,2882,Jake,Knapp ,,
Richard,Jung ,,2883,Wes,Homan ,,
Jake,Knapp ,,2884,Chris,Couch ,,
Wes,Homan ,,2885,Tom,Lehman ,,
Chris,Couch ,,2886,Justin,Suh ,,
Tom,Lehman ,,2887,Derek,Fathauer ,,
Justin,Suh ,,2888,Dicky,Pride ,,
Derek,Fathauer ,,2889,Charlie,Beljan ,,
Dicky,Pride ,,2890,Case,Cochran ,,
Charlie,Beljan ,,2891,Hunter,Mahan ,,
Case,Cochran ,,2892,Stephen,Stallings Jr,,
Hunter,Mahan ,,2893,Andres,Romero ,,
Stephen,Stallings Jr,,2894,Y.E.,Yang ,,
Andres,Romero ,,2895,Julian,Etulain ,,
Y.E.,Yang ,,2896,Alistair,Docherty ,,
Julian,Etulain ,,2897,Omar,Uresti ,,
Alistair,Docherty ,,2898,Charlie,Wi ,,
Omar,Uresti ,,2899,Heath,Slocum ,,
Charlie,Wi ,,2900,Will,MacKenzie ,,
Heath,Slocum ,,2901,Eric,Axley ,,
Will,MacKenzie ,,2902,Michael,Hopper ,,
Eric,Axley ,,2903,Frank,Lickliter II,,
Brian,Davis ,,2904,Brett,Quigley ,,
Michael,Hopper ,,2905,Hayden,Springer ,,
Frank,Lickliter II,,2906,Daniel,Summerhays ,,
Brett,Quigley ,,2907,Kyle,Westmoreland ,,
Hayden,Springer ,,2908,Tony,Romo ,,
Daniel,Summerhays ,,2909,Shintaro,Ban ,,
Kyle,Westmoreland ,,2910,Calum,Hill ,,
Dylan,Wu ,,2911,Guido,Migliozzi ,,
Tony,Romo ,,2912,Sebastian,Soderberg ,,
Shintaro,Ban ,,2913,Kazuki,Higa ,,
Calum,Hill ,,2914,Andrew,Johnston ,,
Guido,Migliozzi ,,2915,Andy,Sullivan ,,
Sebastian,Soderberg ,,2916,Jordan,L Smith,,
Kazuki,Higa ,,2917,Matthew,Southgate ,,
Brendan,Jones ,,2918,Scott,Vincent ,,
Andrew,Johnston ,,2919,Alexander,Bjork ,,
Andy,Sullivan ,,2920,JC,Ritchie ,,
Jordan,L Smith,,2921,Adrian,Otaegui ,,
Matthew,Southgate ,,2922,Ryuko,Tokimatsu ,,
Scott,Vincent ,,2923,Joachim,B Hansen,,
Alexander,Bjork ,,2924,Francesco,Laporta ,,
JC,Ritchie ,,2925,Joakim,Lagergren ,,
Adrian,Otaegui ,,2926,Thomas,Detry ,,
Ryuko,Tokimatsu ,,2927,Darius,Van Driel,,
Joachim,B Hansen,,2928,Julian,Suri ,,
Francesco,Laporta ,,2929,Yuta,Ikeda ,,
Joakim,Lagergren ,,2930,Brandon,Stone ,,
Thomas,Detry ,,2931,Oliver,Wilson ,,
Darius,Van Driel,,2932,Jaco,Ahlers ,,
Julian,Suri ,,2933,Chris,Paisley ,,
Yuta,Ikeda ,,2934,Sam,Horsfield ,,
Brandon,Stone ,,2935,Shota,Akiyoshi ,,
Oliver,Wilson ,,2936,Brad,Kennedy ,,
Jaco,Ahlers ,,2937,Kalle,Samooja ,,
Chris,Paisley ,,2938,Robin,Roussel ,,
Sam,Horsfield ,,2939,Nicolas,Colsaerts ,,
Shota,Akiyoshi ,,2940,Antoine,Rozner ,,
Brad,Kennedy ,,2941,Dean,Burmester ,,
Kalle,Samooja ,,2942,George,Coetzee ,,
Robin,Roussel ,,2943,Charl,Schwartzel ,,
Nicolas,Colsaerts ,,2944,Yoshinori,Fujimoto ,,
Antoine,Rozner ,,2945,Richie,Ramsay ,,
Dean,Burmester ,,2946,Sean,Crocker ,,
George,Coetzee ,,2947,Adrian,Meronk ,,
Charl,Schwartzel ,,2948,Steven,Brown ,,
Yoshinori,Fujimoto ,,2949,Sebi,Garcia ,,
Richie,Ramsay ,,2950,Gunn,Charoenkul ,,
Sean,Crocker ,,2951,Jason,Scrivener ,,
Adrian,Meronk ,,2952,Alexander,Levy ,,
Steven,Brown ,,2953,Ricardo,Santos ,,
Sebi,Garcia ,,2954,Gavin,Kyle Green,,
Gunn,Charoenkul ,,2955,Jack,Senior ,,
Jason,Scrivener ,,2956,Rashid,Khan ,,
Alexander,Levy ,,2957,Cormac,Sharvin ,,
Ricardo,Santos ,,2958,Hiroshi,Iwata ,,
Gavin,Kyle Green,,2959,Pablo,Larrazabal ,,
Jack,Senior ,,2960,Thriston,Lawrence ,,
Rashid,Khan ,,2961,Ho,Sung Choi,,
Cormac,Sharvin ,,2962,Richard,Bland ,,
Hiroshi,Iwata ,,2963,John,Catlin ,,
Pablo,Larrazabal ,,2964,Wade,Ormsby ,,
Thriston,Lawrence ,,2965,Louis,de Jager,,
Ho,Sung Choi,,2966,Ignacio,Elvira Mijares,,
Richard,Bland ,,2967,Sebastian,Heisele ,,
John,Catlin ,,2968,Miguel,Tabuena ,,
Wade,Ormsby ,,2969,Alvaro,Quiros ,,
Louis,de Jager,,2970,Sihwan,Kim ,,
Ignacio,Elvira Mijares,,2971,Fabrizio,Zanotti ,,
Sebastian,Heisele ,,2972,Ewen,Ferguson ,,
Miguel,Tabuena ,,2973,Gaganjeet,Bhullar ,,
Alvaro,Quiros ,,2974,Danie,van Tonder,,
Sihwan,Kim ,,2975,Miguel,Angel Carballo,,
Fabrizio,Zanotti ,,2976,Naoki,Sekito ,,
Ewen,Ferguson ,,2977,Jeff,Winther ,,
Matthew,Griffin ,,2978,Kwanchai,Tannin ,,
Gaganjeet,Bhullar ,,2979,Chris,Wood ,,
Danie,van Tonder,,2980,Suradit,Yongcharoenchai ,,
Miguel,Angel Carballo,,2981,Toshinori,Muto ,,
Naoki,Sekito ,,2982,Bio,Kim ,,
Jeff,Winther ,,2983,Scott,Jamieson ,,
Kwanchai,Tannin ,,2984,Jose-Filipe,Lima ,,
Chris,Wood ,,2985,Sadom,Kaewkanjana ,,
Suradit,Yongcharoenchai ,,2986,Robert,Rock ,,
Toshinori,Muto ,,2987,Paul,Dunne ,,
Bio,Kim ,,2988,Steve,Surry ,,
Scott,Jamieson ,,2989,Adilson,da Silva,,
Jose-Filipe,Lima ,,2990,David,Law ,,
Sadom,Kaewkanjana ,,2991,Hiroyuki,Fujita ,,
Robert,Rock ,,2992,Connor,Syme ,,
Paul,Dunne ,,2993,Ashley,Chesters ,,
Steve,Surry ,,2994,Oliver,Farr ,,
Adilson,da Silva,,2995,Prom,Meesawat ,,
David,Law ,,2996,Dimi,Papadatos ,,
Hiroyuki,Fujita ,,2997,Edoardo,Molinari ,,
Connor,Syme ,,2998,Angelo,Que ,,
Ashley,Chesters ,,2999,Grant,Forrest ,,
Oliver,Farr ,,3000,Darren,Fichardt ,,
Prom,Meesawat ,,3001,Lars,Van Meijel,,
Dimi,Papadatos ,,3002,Wil,Besseling ,,
Edoardo,Molinari ,,3003,Lorenzo,Gagli ,,
Angelo,Que ,,3004,Stephen,Gallacher ,,
Grant,Forrest ,,3005,Jack,Singh Brar,,
Darren,Fichardt ,,3006,Josh,Geary ,,
Lars,Van Meijel,,3007,Sang-hee,Lee ,,
